Reporting_Airline,Origin,Dest,origin_windy,dest_windy,origin_rain,dest_rain,total_flights,total_delayed_flights,total_weather_delayed_flights,total_dep_delay,total_arr_delay,total_weather_delay
WN,MCO,SYR,0,1,0,0,12,4,0,19.0,-49.0,0.0
AA,ORD,TPA,0,1,1,0,5,5,0,100.0,173.0,0.0
9E,ATL,TYS,0,0,0,0,156,27,0,1656.0,809.0,0.0
OO,TYS,DEN,1,1,0,0,1,0,0,-7.0,-6.0,
9E,DTW,JFK,0,1,0,1,9,4,0,179.0,106.0,0.0
OH,PHL,MSP,0,0,1,0,20,8,4,473.0,554.0,320.0
OH,DCA,SYR,0,0,0,1,5,2,0,56.0,13.0,0.0
DL,SEA,LIH,0,1,1,1,9,1,0,9.0,-101.0,0.0
MQ,ICT,ORD,1,0,1,0,5,1,0,17.0,-30.0,
AS,LIH,SEA,0,0,0,1,11,3,0,104.0,-109.0,0.0
DL,CVG,ATL,1,0,1,1,24,12,0,573.0,612.0,0.0
WN,MCO,BWI,1,0,0,1,6,2,0,75.0,30.0,0.0
OO,ORD,GRR,1,0,1,0,1,0,0,,,
9E,GSO,LGA,1,0,1,1,4,1,0,33.0,35.0,0.0
OO,EUG,SEA,1,1,1,1,2,0,0,-19.0,-32.0,
DL,IAH,DTW,0,1,0,0,68,12,1,37.0,-471.0,35.0
NK,ORD,LAS,0,1,0,0,6,3,0,29.0,-21.0,0.0
OO,IAH,OKC,0,0,0,0,57,18,1,2309.0,2079.0,845.0
DL,AUS,SLC,0,0,0,1,29,8,1,132.0,-68.0,21.0
AS,PSG,WRG,0,1,0,0,2,1,0,-27.0,-10.0,
B6,TLH,FLL,0,0,0,0,163,35,0,100.0,-875.0,0.0
G4,LCK,SFB,0,0,1,0,4,3,0,162.0,188.0,0.0
F9,MCO,DSM,1,1,0,1,1,1,0,9.0,2.0,
UA,PBI,EWR,0,0,0,1,57,13,0,687.0,50.0,0.0
AS,ANC,KOA,0,0,0,0,26,7,1,353.0,-3.0,29.0
WN,MIA,MDW,0,1,0,0,14,10,0,248.0,280.0,0.0
WN,BWI,MHT,0,1,0,1,2,0,0,-6.0,-29.0,
MQ,HPN,ORD,1,1,1,1,3,2,1,127.0,95.0,97.0
WN,SMF,PSP,0,0,1,0,8,3,0,19.0,-25.0,0.0
DL,LAX,BOS,0,1,0,0,127,41,0,1202.0,136.0,0.0
OO,VEL,DEN,0,0,0,0,9,2,0,-16.0,-89.0,
OO,GUC,DEN,0,0,1,0,23,7,0,368.0,112.0,0.0
DL,TYS,ATL,0,0,1,0,69,8,0,-187.0,-798.0,0.0
B6,TPA,HPN,1,1,0,0,1,1,0,42.0,21.0,0.0
AA,MIA,SEA,0,0,1,0,15,11,4,958.0,944.0,84.0
MQ,TLH,MIA,0,0,1,0,43,21,1,647.0,675.0,200.0
DL,SLC,BZN,0,0,1,0,9,3,1,763.0,700.0,739.0
OO,PSP,SFO,0,0,0,0,7,5,0,172.0,205.0,0.0
OO,PHX,BOI,0,1,0,1,1,0,0,2.0,-4.0,
WN,OAK,BUR,0,1,1,1,6,3,0,80.0,72.0,0.0
B6,LAX,FLL,0,1,1,0,8,3,0,-26.0,-43.0,0.0
UA,LAX,ORD,0,1,1,1,1,1,0,12.0,12.0,
DL,SLC,SJC,0,1,0,1,3,2,0,6.0,13.0,0.0
AA,LAS,LAX,0,0,0,0,4,3,0,150.0,253.0,0.0
UA,IAH,LGA,1,0,1,0,12,7,0,501.0,436.0,0.0
AA,PHX,CLT,0,0,0,1,6,4,0,33.0,102.0,0.0
DL,AUS,LAS,0,0,1,0,13,8,1,427.0,305.0,244.0
OO,JST,ORD,0,0,0,1,4,1,0,84.0,47.0,0.0
F9,CLE,PHX,0,0,1,0,19,12,0,1430.0,1229.0,0.0
WN,SEA,SJC,0,1,1,1,1,0,0,2.0,-3.0,
OO,ORD,TVC,0,0,0,0,42,24,3,1225.0,1045.0,146.0
OH,GSO,CLT,0,0,0,1,24,9,1,176.0,32.0,2.0
NK,BDL,FLL,0,0,0,0,25,7,0,-1.0,-139.0,0.0
UA,LGA,IAH,0,0,1,1,6,1,0,68.0,-47.0,0.0
UA,ORD,IAH,0,0,0,1,26,17,0,100.0,362.0,0.0
